## [iView]
## Converted from:	E:\pahan\Институт\ЦЭП\Диагностика знаний с помощью EyeTracker'а\Колледжи\Колледж 53 (двигатель)\Results\Kiryukhin.idf
## Date:	25.04.2013 01:01:00
## Version:	IDF Converter 3.0.3
## Sample Rate:	50
## [Run]
## Subject:	Kiryukhin                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	752	480
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	13717                                                                                                                                                                                                                                                           
## Reversed:	x
## Format:	LEFT, RAW, DIAMETER, CR, POR, QUALITY, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	L Dia X [px]	L Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L POR X [px]	L POR Y [px]	Timing	Latency	Frame
10077287675	SMP	1	180.3079	125.6373	75.9859	79.9999	150.2018	137.3015	196.4201	349.5186	0	1000	3
10077307531	SMP	1	180.2079	125.6261	75.9915	80.0000	150.0045	137.4882	196.3174	349.0118	0	1033	3
10077327614	SMP	1	180.2070	125.6685	75.9920	79.9989	149.9947	137.5070	196.1848	348.5493	0	1024	4
10077347534	SMP	1	180.0860	125.4711	75.9948	78.9785	149.9552	137.2895	196.3021	348.3736	0	1029	4
10077367975	SMP	1	180.2201	125.4961	75.9904	78.9815	149.9644	137.2898	196.0452	348.3409	0	938	5
10077387526	SMP	1	180.4669	125.4029	74.9844	78.9895	150.2138	137.2041	195.8635	348.4419	0	1101	5
10077407417	SMP	1	180.5762	125.2578	74.9828	78.9958	150.4417	137.0422	196.0640	348.5520	0	905	6
10077427401	SMP	1	180.7441	125.2530	74.9795	78.9935	150.4529	137.0481	195.7977	348.5647	0	1107	6
10077447420	SMP	1	180.7214	125.1641	74.9856	78.9980	150.4832	137.0094	195.7758	348.3970	0	1006	7
10077467699	SMP	1	180.6634	125.3429	74.9892	78.9933	150.3988	137.1352	195.6703	348.4173	0	1145	7
10077487450	SMP	1	180.5616	125.3979	74.9927	78.9958	150.2262	137.2926	195.3683	348.1155	0	1067	8
10077507401	SMP	1	180.5497	125.4256	74.9902	78.9957	150.2098	137.2958	195.1915	347.9479	0	1108	8
10077527313	SMP	1	180.5315	125.4555	74.9917	78.9929	150.2531	137.4182	195.2355	347.5771	0	945	9
10077547278	SMP	1	180.4906	125.4425	74.9918	78.9991	150.2074	137.2942	195.3008	347.6192	0	1071	9
10077567704	SMP	1	180.7072	125.5256	74.9900	77.9994	150.2733	137.1418	194.8918	348.5457	0	976	10
10077587272	SMP	1	180.8458	125.3447	73.9865	76.9812	150.4774	137.0020	194.7057	349.1785	0	1111	10
10077607290	SMP	1	180.8953	125.2899	73.9866	76.9816	150.4819	136.9969	194.4558	349.4471	0	915	11
10077627277	SMP	1	180.9441	125.2899	73.9840	76.9859	150.4864	136.9980	194.1887	349.4543	0	1134	11
10077647172	SMP	1	181.0074	125.2359	73.9841	76.9906	150.4865	136.9943	193.8994	349.1375	0	907	12
10077667447	SMP	1	180.9907	125.1077	73.9887	76.9938	150.4857	136.9969	193.7109	348.5086	0	1111	12
10077687249	SMP	1	181.0130	125.1797	73.9843	76.9942	150.4844	136.9978	193.5498	348.2658	0	1039	13
10077707147	SMP	1	180.9771	125.3292	73.9882	76.9904	150.4813	137.0060	193.5290	348.6203	0	1088	13
10077727239	SMP	1	180.9742	125.1150	73.9887	76.9907	150.4777	137.0015	193.6023	348.3359	0	952	14
10077747148	SMP	1	181.0072	125.2688	73.9866	76.9905	150.4467	137.0465	193.4451	348.4433	0	1097	14
10077767329	SMP	1	181.0478	125.1932	73.9885	76.9911	150.4781	137.0104	193.2920	348.3556	0	983	15
10077787054	SMP	1	181.0430	125.2024	73.9842	76.9910	150.4807	137.0103	193.1849	348.2640	0	1064	15
10077807083	SMP	1	180.9705	125.3555	73.9865	76.9821	150.4081	137.1370	193.1177	348.4079	0	953	16
10077827027	SMP	1	180.9026	125.1562	73.9868	77.9817	150.4732	137.0086	193.5165	348.2497	0	1057	16
10077847120	SMP	1	180.8176	125.2945	73.9877	77.9779	150.2719	137.4119	193.5921	347.2279	0	986	17
10077867203	SMP	1	180.6889	125.1820	74.9897	77.9807	150.2688	137.1283	193.9126	346.9723	0	1122	17
10077887021	SMP	1	180.7149	125.3796	73.9845	78.9993	150.2675	137.4065	194.0972	346.6102	0	942	18
10077906910	SMP	1	180.6838	125.5001	74.9916	78.9960	150.2691	137.4308	194.2221	346.7591	0	1059	18
10077927040	SMP	1	180.6381	125.2369	74.9880	78.9998	150.2203	137.2070	194.3526	346.9282	0	990	19
10077946900	SMP	1	180.6585	125.4138	74.9920	78.9959	150.2439	137.4589	194.4026	346.6805	0	1016	19
10077967339	SMP	1	180.6439	125.2274	74.9880	78.9959	150.2211	137.2969	194.4307	346.4148	0	979	20
10077986773	SMP	1	180.7534	125.2320	74.9879	78.9932	150.2758	137.4133	194.2988	345.7916	0	1057	20
10078006826	SMP	1	180.7109	125.3244	74.9874	78.9887	150.2793	137.4263	194.2938	345.6100	0	911	21
10078026785	SMP	1	180.6396	125.2961	74.9889	78.9932	150.2615	137.4156	194.4655	345.5426	0	1076	21
10078046814	SMP	1	180.4012	125.5332	74.9879	78.9809	150.0311	137.7133	194.6666	345.3449	0	960	22
10078067071	SMP	1	180.2673	125.3873	74.9909	78.9838	149.9525	137.5864	194.9934	345.1753	0	1023	22
10078086715	SMP	1	180.2585	125.4702	74.9909	78.9817	149.8330	137.6392	194.8853	345.0781	0	926	23
10078106654	SMP	1	180.2170	125.6150	74.9902	79.9998	149.7491	137.6297	194.5530	345.5490	0	1035	23
10078126668	SMP	1	180.1641	125.4170	74.9899	78.9819	149.7169	137.5793	194.3662	345.5329	0	957	24
10078146681	SMP	1	180.2046	125.4214	74.9930	78.9821	149.7170	137.5717	194.1308	345.4760	0	946	24
10078166953	SMP	1	180.1839	125.6740	74.9903	79.9989	149.7005	137.8679	194.0537	345.2399	0	957	25
10078186651	SMP	1	180.1274	125.4578	74.9944	80.9996	149.7042	137.5737	194.1862	345.2455	0	1094	25
10078206542	SMP	1	180.2153	125.7036	74.9903	79.9973	149.7028	137.8724	194.0534	345.2178	0	911	26
10078226532	SMP	1	180.1864	125.6052	74.9947	79.9987	149.7045	137.5921	193.9863	345.7620	0	1028	26
10078246637	SMP	1	180.1983	125.6284	74.9931	79.9947	149.7146	137.6001	193.9216	346.3003	0	1062	27
10078266829	SMP	1	180.2974	125.6734	74.9909	79.9990	149.9522	137.5814	194.2475	346.8619	0	1156	27
10078286570	SMP	1	180.2925	125.5595	74.9901	79.9994	149.9467	137.1925	194.5299	348.1894	0	965	28
10078306535	SMP	1	180.2397	125.7325	74.9899	78.9998	149.8871	137.1108	194.6253	350.0479	0	1028	28
10078326548	SMP	1	180.3052	128.4546	74.9946	67.9983	149.9904	136.4930	193.9903	382.2473	0	948	29
10078346395	SMP	1	179.6694	144.1925	55.9995	35.8240	150.2498	134.8668	191.8131	538.6503	0	951	29
10078367579	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	375	30
10078386393	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	355	30
10078406427	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	346	31
10078426285	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	357	31
10078446319	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	376	32
10078467329	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	553	32
10078486364	SMP	1	182.6217	143.4534	42.9364	34.9182	149.5742	132.9709	159.1248	547.7496	0	907	33
10078506303	SMP	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	410	33
10078526312	SMP	1	178.3124	132.4977	73.9737	52.8422	149.4143	133.7090	199.8453	444.1395	0	957	34
10078546143	SMP	1	178.4007	129.7896	74.9886	58.9801	149.4122	134.1276	200.5087	416.0586	0	1006	34
10078567213	SMP	1	178.5685	127.9562	74.9951	62.9784	149.4825	134.3503	200.9962	398.5520	0	956	35
10078586154	SMP	1	178.7728	126.7463	74.9894	65.9802	149.4551	134.5807	200.9445	386.9465	0	984	35
10078606167	SMP	1	178.9869	126.1126	75.9969	66.9801	149.4030	134.7893	200.3078	379.7894	0	897	36
10078626155	SMP	1	178.9493	125.5430	75.9991	69.9982	149.3623	135.0488	199.8434	372.8238	0	1023	36
10078646220	SMP	1	178.8797	125.1076	75.9987	70.9979	149.3936	135.3004	199.9979	366.6272	0	904	37
10078667099	SMP	1	178.5032	124.6558	76.9990	72.9898	149.2699	135.4086	201.2237	361.5903	0	1263	37
10078686169	SMP	1	178.2823	124.3772	76.9959	73.9897	149.1930	135.5291	202.8393	357.7489	0	936	38
10078706033	SMP	1	178.2857	124.0015	76.9954	74.9819	149.0340	135.5355	203.4603	354.2438	0	1004	38
10078726111	SMP	1	178.3054	123.8666	76.9955	74.9841	148.9747	135.6519	203.5170	351.4443	0	939	39
10078746021	SMP	1	178.3709	123.6049	76.9959	75.9798	149.0044	135.7431	203.2782	348.5149	0	1007	39
10078767207	SMP	1	178.3408	123.4425	76.9956	77.9993	149.0069	135.8316	203.1842	345.9308	0	945	40
10078785905	SMP	1	178.2565	123.5565	76.9936	77.9988	149.0015	135.9836	203.4819	344.3913	0	980	40
10078805923	SMP	1	178.1917	123.2552	76.9932	78.9984	148.9879	135.8356	203.9539	343.0547	0	908	41
10078825909	SMP	1	178.1543	123.4418	76.9924	78.9935	148.8448	136.0693	204.0077	342.1654	0	1034	41
10078845982	SMP	1	178.0686	123.1919	76.9900	78.9985	148.9419	135.8050	204.4600	341.7687	0	968	42
10078866983	SMP	1	177.9516	123.5103	77.9971	78.9879	148.8147	136.1032	204.7653	341.6404	0	1272	42
