Text	GazeVector	x	y	PupilRadius	GazeTime	FrameNo	Key	EyeMotionState	FixX	FixY	FixDuration
0	0	0	0	-0,00788855412793055	-1	0	0	0	0	0
0	0	0	0	0,00864306651328661	-1	0	0	0	0	0
1	245	290	159,458339214325	0,0252758979322607	-1	0	0	0	0	0
0	245	290	0	0,0344508424423111	-1	0	0	0	0	0
1	244	287	159,730124473572	0,0418675439050276	-1	0	0	0	0	0
Точка.bmp	0	244	287	0	0,050145402178714	0	0	0	0	0	0
Точка.bmp	1	244	287	159,302723407745	0,0585004301783556	0	0	0	0	0	0
Точка.bmp	0	244	287	0	0,0667861201191045	0	0	0	0	0	0
Точка.bmp	1	245	289	158,80833864212	0,0750779886238888	0	0	1	0	0	0
Точка.bmp	0	245	289	0	0,0833621601032064	0	0	1	0	0	0
Точка.bmp	1	247	284	160,977506637573	0,0917162655578068	0	0	1	0	0	0
Точка.bmp	0	247	284	0	0,100002504039367	0	0	1	0	0	0
Точка.bmp	1	246	282	160,406219959259	0,10829447227934	0	0	1	0	0	0
Точка.bmp	0	246	282	0	0,116579060151707	0	0	1	0	0	0
Точка.bmp	1	249	284	160,64225435257	0,124929423061076	0	0	1	0	0	0
Точка.bmp	0	249	284	0	0,133217651249652	0	0	1	0	0	0
Точка.bmp	1	248	288	159,808278083801	0,141515399115633	0	0	1	0	0	0
Точка.bmp	0	248	288	0	0,149794613780614	0	0	1	0	0	0
Точка.bmp	1	246	288	161,834681034088	0,158170885272739	0	0	1	0	0	0
Точка.bmp	0	246	288	0	0,166450062536569	0	0	1	0	0	0
Точка.bmp	1	248	285	161,901342868805	0,17472908271975	0	0	1	0	0	0
Точка.bmp	0	248	285	0	0,183014376213578	0	0	1	0	0	0
Точка.bmp	1	254	284	161,374473571777	0,191362387878144	0	0	1	0	0	0
Точка.bmp	0	254	284	0	0,199653560733168	0	0	1	0	0	0
Точка.bmp	1	256	283	161,545860767365	0,207942018311769	0	0	1	0	0	0
Точка.bmp	0	256	283	0	0,216228640772897	0	0	1	0	0	0
Точка.bmp	1	252	286	161,646449565887	0,224578365378875	0	0	1	0	0	0
Точка.bmp	0	252	286	0	0,232873699666015	0	0	1	0	0	0
Точка.bmp	1	252	287	161,928224563599	0,241157312631003	0	0	1	0	0	0
Точка.bmp	0	252	287	0	0,249444820236931	0	0	1	0	0	0
Точка.bmp	1	254	289	161,251699924469	0,257791487974828	0	0	1	0	0	0
Точка.bmp	0	254	289	0	0,274929246281317	0	0	1	0	0	0
Точка.bmp	1	256	289	159,675335884094	0,274924259545514	0	0	1	0	0	0
Точка.bmp	0	256	289	0	0,28272363060114	0	0	1	0	0	0
Точка.bmp	1	258	288	161,262106895447	0,291103647131422	0	0	1	0	0	0
Точка.bmp	0	258	288	0	0,299349403297128	0	0	1	0	0	0
Точка.bmp	1	253	289	160,552215576172	0,307635798860247	0	0	1	0	0	0
Точка.bmp	0	253	289	0	0,315906827799154	0	0	1	0	0	0
Точка.bmp	1	252	289	160,915148258209	0,324271672187933	0	0	1	0	0	0
Точка.bmp	0	252	289	0	0,332549971787557	0	0	1	0	0	0
Точка.bmp	1	253	290	160,152983665466	0,340837601566818	0	0	1	0	0	0
Точка.bmp	0	253	290	0	0,34912182291373	0	0	1	0	0	0
Точка.bmp	1	252	289	159,139466285706	0,357489492288551	0	0	1	0	0	0
Точка.bmp	0	252	289	0	0,365773803396223	0	0	1	0	0	0
Точка.bmp	1	253	289	159,354710578918	0,374058373815387	0	0	1	0	0	0
Точка.bmp	0	253	289	0	0,38234993563583	0	0	1	0	0	0
Точка.bmp	1	251	290	158,909094333649	0,390667071928874	0	0	1	0	0	0
Точка.bmp	0	251	290	0	0,398947386168402	0	0	1	0	0	0
Точка.bmp	1	251	290	159,894728660583	0,407264978747662	0	0	1	0	0	0
Точка.bmp	0	251	290	0	0,415526268592657	0	0	1	0	0	0
Точка.bmp	1	255	286	159,426021575928	0,423875609220886	0	0	1	0	0	0
Точка.bmp	0	255	286	0	0,432165949292539	0	0	1	0	0	0
Точка.bmp	1	253	284	160,262393951416	0,440452746287519	0	0	1	0	0	0
Точка.bmp	0	253	284	0	0,448746060947087	0	0	1	0	0	0
Точка.bmp	1	251	288	159,306967258453	0,457091616643993	0	0	1	0	0	0
Точка.bmp	0	251	288	0	0,465380921967153	0	0	1	0	0	0
Точка.bmp	1	249	289	159,994375705719	0,473673737951685	0	0	1	0	0	0
