## [iView]
## Converted from:	D:\Yarbus3.idf
## Date:	08.02.2014 09:51:30
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3597                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	SUBJ3 ____                                                                                                                                                                                                                                                   
## Description:	kolichestvo predmetov interera                                                                                                                                                                                                                                  
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1280	1024
## Calibration Point 0:	Position(640;517)
## Calibration Point 1:	Position(354;111)
## Calibration Point 2:	Position(1097;262)
## Calibration Point 3:	Position(925;922)
## Calibration Point 4:	Position(182;769)
## [Geometry]
## Stimulus Dimension [mm]:	531	299
## Head Distance [mm]:	635
## [Hardware Setup]
## System ID:	ç-HP
## Operating System :	6.1
## iView X Version:	2.11.71
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	R Dia X [px]	R Dia Y [px]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
14406041263	SMP	1	449.9286	544.1508	706.5426	540.1658	12.9198	12.9198	12.2429	12.2429	447.9628	549.3555	453.3916	549.4036	702.8477	545.6092	708.1462	545.5849	622.4741	418.6585	622.4741	418.6585	0	1449	0	0	3	-46.9954	-9.2761	630.4473	16.2704	-8.3437	630.9212	0.0629	0.3244	-0.9438	-0.0333	0.3199	-0.9469	-1	
14406049627	SMP	1	449.9461	544.2993	706.5201	540.1624	13.0777	13.0777	12.1623	12.1623	447.9679	549.3735	453.4090	549.5094	702.8781	545.6389	708.2997	545.6692	622.7217	418.8699	622.7217	418.8699	0	1432	0	0	3	-46.9429	-9.2816	629.7796	16.2904	-8.3564	630.8093	0.0637	0.3201	-0.9452	-0.0415	0.3229	-0.9455	-1	
14406057885	SMP	1	450.0452	544.1638	706.5979	540.1403	12.9210	12.9210	12.1867	12.1867	447.9877	549.4091	453.4338	549.5398	702.8906	545.6741	708.3358	545.7098	623.1565	417.6129	623.1565	417.6129	0	1593	0	0	3	-46.8932	-9.2811	629.1869	16.2794	-8.3570	630.1492	0.0688	0.3275	-0.9424	-0.0376	0.3257	-0.9447	-1	
14406066194	SMP	1	450.0408	544.1742	706.5260	540.2779	12.9224	12.9224	12.1341	12.1341	447.9729	549.4242	453.4824	549.5889	702.8984	545.7217	708.3524	545.7970	622.4910	417.0166	622.4910	417.0166	0	1547	0	0	3	-46.8083	-9.2730	628.1012	16.2673	-8.3660	629.5631	0.0673	0.3281	-0.9422	-0.0439	0.3219	-0.9458	-1	
14406074646	SMP	1	450.0109	544.2482	706.5718	540.2438	12.9336	12.9336	12.3076	12.3076	447.9868	549.4298	453.4853	549.6120	702.9114	545.7479	708.3583	545.8448	622.9329	416.8948	622.9329	416.8948	0	1417	0	0	3	-46.7760	-9.2705	627.6968	16.2562	-8.3682	629.0428	0.0648	0.3253	-0.9434	-0.0412	0.3253	-0.9447	-1	
14406083024	SMP	1	449.9922	544.3446	706.5475	540.2685	12.9483	12.9483	12.1058	12.1058	447.9884	549.4621	453.4998	549.6347	702.9164	545.7664	708.3566	546.0864	622.5458	416.5546	622.5458	416.5546	0	1557	0	0	3	-46.7056	-9.2638	626.7784	16.2447	-8.3942	628.5809	0.0632	0.3219	-0.9447	-0.0429	0.3304	-0.9429	-1	
14406091263	SMP	1	450.0298	544.3134	706.6038	540.3326	12.8583	12.8583	12.2177	12.2177	447.9834	549.4780	453.5031	549.6593	702.9015	545.8119	708.3227	546.1182	622.5556	416.1339	622.5556	416.1339	0	1506	0	0	3	-46.6451	-9.2567	625.9630	16.2425	-8.4058	628.7316	0.0659	0.3238	-0.9438	-0.0371	0.3292	-0.9435	-1	
14406099681	SMP	1	450.0309	544.4507	706.5023	540.3959	12.9547	12.9547	12.1090	12.1090	447.9758	549.4955	453.5134	549.6717	702.8711	545.8418	708.1537	546.1691	622.6340	416.6751	622.6340	416.6751	0	4087	0	0	3	-46.5908	-9.2497	625.2391	16.2357	-8.4251	629.4262	0.0664	0.3179	-0.9458	-0.0371	0.3284	-0.9438	-1	
14406108044	SMP	1	449.9622	544.4513	706.4817	540.3630	12.9291	12.9291	12.1722	12.1722	447.9553	549.5108	453.4863	549.6740	702.8399	545.8477	708.1406	546.1652	622.7575	417.2353	622.7575	417.2353	0	1886	0	0	3	-46.5488	-9.2423	624.5964	16.2461	-8.4336	630.0429	0.0632	0.3182	-0.9459	-0.0369	0.3304	-0.9431	-1	
14406116403	SMP	1	449.9609	544.4520	706.4266	540.3330	12.9296	12.9296	12.2239	12.2239	447.9536	549.5128	453.4690	549.6573	702.7974	545.8516	708.1147	546.1644	622.4291	417.7508	622.4291	417.7508	0	1588	0	0	3	-46.5086	-9.2321	624.0258	16.2517	-8.4414	630.5903	0.0638	0.3176	-0.9461	-0.0382	0.3322	-0.9424	-1	
